fulllabel,labelhash,etherscan_url,last_owner,last_remmaining_cost,last_cost,total_cost,premium,total_gas_spent,transactions,total+premium+gas
ᴇᴛʜᴇʀᴇᴜᴍ,0x021218b8e35bf318f4a3fc540a1ab99ad60948c67c20fa923f1975a26c8c8df3,https://etherscan.io/token/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85?a=936599570818769503963073027149382603879923971370236459234868557624550133235,0x4ac5ed4b31f4f0e16bd96bf2d9f96200d7c266af,0.06003733637,0.06098924963,0.06098924963,15.20135539,0.013242167,4,15.27558681
۰۹۹,0x9c6d71f7972d17a34530afb06ede3db89f8f73223a60902640b19bdf45f1ec0c,https://etherscan.io/token/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85?a=70754177281415120550740295708449628005726826186781106727394487945571511430156,0x5cde654f34126207f38d97bb335d0b0362dd78c7,0.1609197354,0.4935773397,0.4935773397,1.317473046,0.00849733154,4,1.819547717
۱۱٥,0xc0f1f31247b0309dc0c08fe74c4d541b489fd867862b81ccb806f7a994841c69,https://etherscan.io/token/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85?a=87271554687789700339066736701249710336766526953521924422132765748004525448297,0x21a19c4b5827e88ab01fa7a75e85c89c4f597d22,0.6350414124,1.216746013,1.216746013,0,0.003814882551,4,1.220560896
۰٤٤,0x1b49e530496c7558ab8441febbb63f5e0b3e967d1854a6e088acaafc2d5c274e,https://etherscan.io/token/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85?a=12343008549200284087671419533476339362446609040274038939093390863423931950926,0x09dbc431406459fe38f823c43b95b9ccec0c268c,0.1444181634,0.3933778331,0.3933778331,0.7338459734,0.00262635047,4,1.129850157
sɛx,0xcdf0d1c14ab52150db3ac6539c23e7c7127cbe655d9c66dc60300d60e9743ebb,https://etherscan.io/token/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85?a=93149624931240230044727608114863537854328306266242816990927737182705629281979,0xc0e40065d60328f33269d3b4846dbfbcb2b12045,0.771283637,1.065349205,1.065349205,0.002143862618,0.01821106927,3,1.085704137
🜍☿🜔,0xfd57d2830b956cce4c1b600eeed2227f601a61d74acbe51f4ed73f5383ac9c9a,https://etherscan.io/token/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85?a=114590319285907860207626151853752221678781409911809668643382908007851678801050,0x3f8aa737d2de6b9c3955582d862d34eaa94e42bc,0.6175921824,0.8805513539,1.015320434,0,0.052398852,4,1.067719286
сбер,0x7fd9eaa3cedcc49f1013367bc55ddcc69a43c9d8e696c15716ebdab7dcace389,https://etherscan.io/token/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85?a=57828757008033347253097746727682642823312438340404784607106624730504614437769,0x0d756ee0e8c250f88f5e0edd7c723dc3a0bf75cf,0.1693900853,0.0747610413,0.7661329646,0,0.1234077689,7,0.8895407335
brọ,0x43ff5c2cab155f3e6dad3d57b42a181b47439206273647311bd88bc1b902cb64,https://etherscan.io/token/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85?a=30756143021516087936786047295730146755998497098977327566744949666027655056228,0xcb0b857c9b90c06e00e42b3179b703807ad4c3ab,0.6641972786,0.841777801,0.841777801,0,0.008213505321,3,0.8499913063
”0”,0xcf699eeb27843c0440b91d8f7eb34939bc48fb27e5d85fb2305e625377b851b6,https://etherscan.io/token/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85?a=93815375414209709905806512370138855053466525929840339092933403540269561303478,0x72fae93d08a060a7f0a8919708c0db74ca46cbb6,0.0260510224,0.559330775,0.8415602517,0,0.005561669567,4,0.8471219212
๐๐๐,0x8b41b85ad920c7a5549e6dd235a99c2dc3f0c8310df25d7639fd72feafc6e5ab,https://etherscan.io/token/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85?a=62987603382873884619612363648100125760359084575682795458544763458164737107371,0x6d5596d228c44453b0e16d1e4abd3f14724773fb,0.2944252886,0.5093138879,0.7658305033,0.05245401167,0.01947335926,9,0.8377578743
